signaldate,Fuel oil temperature supply unit(ams),TC Bearing Oil Pressure Inlet TC #01(ams),Estimated engine load(ems),Turbocharger 1 speed(ems),VIT intermediate result A(ems),VIT intermediate result B(ems),VIT intermediate result C(ems),VIT intermediate result D(ems),Common Start of Injection(ems),Scav. Air Press. Mean Value(ems),Compression Pressure Average(ems),Firing Pressure Average(ems),Relative Engine Speed(ems),Exhaust Gas Average Temperature(ems),Exh. valve opening angle at CMCR(ems),Exh. valve closing angle at CMCR(ems),Cyl. lub. distribution share above piston(ems),Cyl. lub. distribution share below piston(ems),Cyl. lub. distribution share into piston(ems),Engine External Speed Setpoint(ems),Engine Internal Speed Setpoint(ems),MFI Demand(ems),Limited MFI PID MAX value(ems),Fuel Pressure Setpoint(ems),Fuel Pump Setpoint Master Controller(ems),Fuel Pump Setpoint Slave Controller(ems),Barometric Pressure 1(ems),Exh. valve opening angle Cyl_mean,Exh. valve opening angle Cyl_min,Exh. valve opening angle Cyl_max,Firing Pr. Balancing Injection Offset Cyl_mean,Firing Pr. Balancing Injection Offset Cyl_min,Firing Pr. Balancing Injection Offset Cyl_max,Start of Injection Cyl_mean,Start of Injection Cyl_min,Start of Injection Cyl_max,Engine speed(scr)
2021-10-04 15:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.43333333333334,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0738888888888893,-3.5033333333333334,-2.7113333333333336,0.0
2021-10-04 16:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.15,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.1666666666666,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.082777777777778,-3.674,-2.615333333333333,0.0
2021-10-04 17:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.15,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.052555555555556,-3.5886666666666667,-2.6046666666666667,0.0
2021-10-04 18:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.93333333333334,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.8333333333334,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.114777777777777,-3.706,-2.626,0.0
2021-10-04 19:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.13333333333333,120.0,259.0,70.0,5.0,25.0,0.7844885,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.061444444444444,-3.567333333333333,-2.6613333333333333,0.0
2021-10-04 20:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.98333333333333,120.0,259.0,70.0,5.0,25.0,0.5,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.1538888888888894,-3.812666666666667,-2.69,0.0
2021-10-04 21:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.96666666666667,120.0,259.0,70.0,5.0,25.0,0.5,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.088111111111111,-3.620666666666666,-2.7433333333333336,0.0
2021-10-04 22:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.833333333333336,120.0,259.0,70.0,5.0,25.0,0.5,32.0,327.69,486.7,750.0,75.0,75.0,1008.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.091666666666667,-3.77,-2.540666666666666,0.0
2021-10-04 23:00:00,32.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.9,120.0,259.0,70.0,5.0,25.0,0.507,32.0,327.69,486.7,750.0,75.0,75.0,1009.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.081,-3.535333333333333,-2.7753333333333337,0.0
2021-10-05 00:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.15,120.0,259.0,70.0,5.0,25.0,0.5519999999999999,32.0,327.69,486.7,750.0,75.0,75.0,1009.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.081,-3.578,-2.6793333333333336,0.0
2021-10-05 01:00:00,32.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,60.96666666666667,120.0,259.0,70.0,5.0,25.0,0.5,32.0,327.69,486.7,750.0,75.0,75.0,1009.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.061444444444444,-3.535333333333333,-2.626,0.0
2021-10-05 02:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,61.083333333333336,120.0,259.0,70.0,5.0,25.0,0.5,32.0,327.69,486.7,750.0,75.0,75.0,1008.6666666666666,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0969999999999995,-3.642,-2.626,0.0
